Customer ID,Year,Frequency,Monetary_Value,Province,Best_Selling_Product,Market_Group,Predicted_Purchases,Predicted_Monetary_Value,Customer_State,Cluster_Label,FirstPurchaseRevenue,CAC,ProfitCLV
12346,2011,1,77183.6,United Kingdom,MEDIUM CERAMIC TOP STORAGE JAR,Home & Kitchen,0.0,0.0,Inactive,1,77183.6,15436.720000000001,150856.5078
12347,2010,2,1323.32,Iceland,MINI PAINT SET VINTAGE ,Decorations & Craft,6.6894,804.6421,Active,0,711.79,142.358,1476.5219
12347,2011,6,3598.21,Iceland,ICE CREAM SUNDAE LIP GLOSS,Seasonal & Gifts,6.0872,621.9748,Active,2,475.39,95.078,1196.9883
12348,2010,2,873.9599999999999,Finland,60 TEATIME FAIRY CAKE CASES,Seasonal & Gifts,5.2982,532.934,Active,0,892.8,178.56,890.5965000000001
12348,2011,3,784.44,Finland,DOUGHNUT LIP GLOSS ,Seasonal & Gifts,3.1065,288.2847,Active,2,227.44,45.488,517.8746000000001
12349,2011,1,1457.55,Italy,STRAWBERRY CERAMIC TRINKET POT,Stationery & Office,0.0,0.0,Active,0,1757.55,351.51,2788.8034
12352,2011,7,1385.74,Norway,PINK HEART SHAPE EGG FRYING PAN,Seasonal & Gifts,7.3913,204.4803,Active,2,296.5,59.300000000000004,367.214
12353,2011,1,89.0,Bahrain,MINI CAKE STAND WITH HANGING CAKES,Seasonal & Gifts,0.0,0.0,Inactive,1,89.0,17.8,173.9518
12355,2011,1,459.4,Bahrain,ICE CREAM SUNDAE LIP GLOSS,Seasonal & Gifts,0.0,0.0,Inactive,1,459.4,91.88,897.9042000000001
12356,2011,3,2487.43,Portugal,60 TEATIME FAIRY CAKE CASES,Seasonal & Gifts,3.1045,909.7287,Active,2,2271.62,454.324,1332.0776999999998
12357,2011,1,6207.67,Switzerland,HAND WARMER RED RETROSPOT,Garden & Outdoor,0.0,0.0,Active,0,6207.67,1241.534,12132.984400000001
12358,2011,2,928.06,Austria,CERAMIC STRAWBERRY CAKE MONEY BANK,Seasonal & Gifts,3.7727,565.6459,Active,0,484.86,96.97200000000001,902.7876
12359,2011,4,6310.03,Cyprus,"METAL SIGN,CUPCAKE SINGLE HOOK",Home & Kitchen,3.9622,1675.4065,Active,2,547.5,109.5,3289.2637
12360,2011,3,2302.06,Austria,MINI PAINT SET VINTAGE ,Decorations & Craft,4.487,842.0847,Active,2,1083.58,216.716,1436.5582
12361,2011,1,174.9,Belgium,CIRCUS PARADE LUNCH BOX ,Home & Kitchen,0.0,0.0,Inactive,1,189.9,37.980000000000004,338.8447
12362,2011,10,4737.23,Belgium,SPACEBOY LUNCH BOX ,Home & Kitchen,10.4922,483.4326,Active,2,479.1,95.82000000000001,924.8232999999999
12363,2011,2,552.0,Unspecified,60 CAKE CASES VINTAGE CHRISTMAS,Seasonal & Gifts,2.3294,338.259,Active,0,299.1,59.82000000000001,534.8262
12364,2011,4,1208.1,Belgium,BUBBLEGUM RING ASSORTED,Toys & Games,9.0105,321.8302,Active,0,623.92,124.78399999999999,525.9334
12370,2010,5,2278.89,Cyprus,HEART DECORATION PAINTED ZINC ,Seasonal & Gifts,5.1105,477.3619,Active,2,1590.82,318.164,796.9855
12370,2011,2,1677.67,Cyprus,BOYS ALPHABET IRON ON PATCHES,Seasonal & Gifts,2.3162,1018.9019,Active,2,938.39,187.678,1619.6046000000001
12371,2011,1,1527.96,Switzerland,GRAND CHOCOLATECANDLE,Home & Kitchen,0.0,0.0,Active,0,1527.96,305.59200000000004,2986.4208
12372,2011,3,1196.04,Denmark,PLASTERS IN TIN CIRCUS PARADE ,Home & Kitchen,3.2932,438.4831,Active,2,399.22,79.84400000000001,779.1180999999999
12373,2011,1,324.6,Austria,RED RETROSPOT CHARLOTTE BAG,Garden & Outdoor,0.0,0.0,Inactive,1,364.6,72.92,626.4356
12374,2011,1,622.93,Austria,72 SWEETHEART FAIRY CAKE CASES,Seasonal & Gifts,0.0,0.0,Active,0,742.9300000000001,148.586,1193.5261
12375,2011,2,377.5,Finland,JUMBO BAG PEARS,Seasonal & Gifts,4.9531,232.7466,Active,0,230.3,46.06,360.6047
12377,2010,3,2719.72,Switzerland,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,Home & Kitchen,4.0092,994.4945,Active,2,1001.52,200.304,2017.8038999999999
12377,2011,1,546.6,Switzerland,FOOD/DRINK SPONGE STICKERS,Stationery & Office,0.0,0.0,Inactive,1,626.6,125.32000000000001,1052.3379
12378,2011,1,4008.62,Switzerland,GIRLS ALPHABET IRON ON PATCHES ,Seasonal & Gifts,0.0,0.0,Active,0,4008.62,801.724,7834.908100000001
12379,2011,2,777.24,Belgium,POLKADOT PEN,Stationery & Office,3.0626,474.4517,Active,0,459.84,91.968,745.3196
12380,2011,4,2427.81,Belgium,ROUND SNACK BOXES SET OF4 WOODLAND ,Home & Kitchen,6.3141,645.4274,Active,2,607.5500000000001,121.51000000000002,1186.1783
12381,2011,3,1474.81,Norway,MINI PAINT SET VINTAGE ,Decorations & Craft,6.6028,540.21,Active,0,1268.74,253.74800000000002,805.4187
12383,2010,1,555.72,Belgium,POPART WOODEN PENCILS ASST,Stationery & Office,0.0,0.0,Active,0,600.72,120.144,1239.533
12383,2011,4,1072.84,Belgium,PACK OF 12 TRADITIONAL CRAYONS,Seasonal & Gifts,3.4042,285.9448,Inactive,1,651.16,130.232,447.6305
12384,2011,2,425.27,Switzerland,BIRDCAGE DECORATION TEALIGHT HOLDER,Seasonal & Gifts,4.2083,261.631,Active,0,292.69,58.538000000000004,399.58729999999997
12386,2010,1,258.9,Australia,ASSORTED BOTTLE TOP  MAGNETS ,Home & Kitchen,0.0,0.0,Active,0,258.9,51.78,581.6692
12386,2011,1,143.0,Australia,PORCELAIN ROSE SMALL,Seasonal & Gifts,0.0,0.0,Inactive,1,143.0,28.6,279.4957
12388,2011,6,2780.66,Australia,STAR DECORATION PAINTED ZINC ,Seasonal & Gifts,5.9215,480.8305,Active,2,431.3,86.26,912.2356
12391,2011,1,439.66,Cyprus,PARTY TIME PENCIL ERASERS,Seasonal & Gifts,0.0,0.0,Active,0,460.89,92.178,855.0761
12393,2011,4,1582.6,Australia,LUNCH BAG WOODLAND,Seasonal & Gifts,3.9324,421.1875,Active,2,462.5,92.5,759.9339
12394,2011,2,1080.48,Belgium,SET OF 12 MINI LOAF BAKING CASES,Seasonal & Gifts,2.7218,657.8075,Active,0,381.08,76.216,1087.7392000000002
12395,2010,5,2148.46,Belgium,PACK OF 60 PINK PAISLEY CAKE CASES,Stationery & Office,6.1779,450.096,Active,2,346.1,69.22000000000001,982.105
12395,2011,10,2092.71,Belgium,CHARLOTTE BAG SUKI DESIGN,Garden & Outdoor,10.2978,213.795,Active,2,231.51,46.302,404.5755
12397,2011,2,2214.9,Belgium,CARAVAN SQUARE TISSUE BOX,Home & Kitchen,3.9082,1343.7411,Active,0,1214.81,242.962,2143.0557
12399,2011,4,1033.65,Belgium,MINI PAINT SET VINTAGE ,Decorations & Craft,4.5198,275.5474,Active,0,288.05,57.61000000000001,499.1436
12402,2011,1,195.6,Belgium,DOLLY GIRL LUNCH BOX,Home & Kitchen,0.0,0.0,Inactive,1,225.6,45.120000000000005,376.3031
12403,2011,1,391.7,Denmark,CHILDRENS CUTLERY POLKADOT PINK,Stationery & Office,0.0,0.0,Active,0,427.7,85.54,758.3835
12406,2011,2,3415.3,Denmark,LUNCH BAG SUKI DESIGN ,Garden & Outdoor,3.215,2069.57,Active,2,1621.25,324.25,3354.9076
12407,2011,5,1507.12,Belgium,FAIRY CAKES NOTEBOOK A7 SIZE,Stationery & Office,5.8888,316.0268,Active,2,226.3,45.260000000000005,604.1625
12408,2011,5,2618.55,Belgium,DOLLY GIRL LUNCH BOX,Home & Kitchen,5.9933,548.3663,Active,2,762.89,152.578,975.7631000000001
12409,2011,3,11072.67,Switzerland,PACK OF 72 RETROSPOT CAKE CASES,Garden & Outdoor,4.6604,4042.5991,Active,0,6207.08,1241.4160000000002,6710.6621
12410,2011,2,533.33,Switzerland,FRENCH BATHROOM SIGN BLUE METAL,Home & Kitchen,0.3325,326.9701,Inactive,1,625.3299999999999,125.06599999999999,449.46780000000007
12412,2011,3,1142.88,Denmark,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Garden & Outdoor,4.9443,419.0843,Active,0,514.5,102.9,717.8841
12413,2011,3,686.1,France,JUMBO BAG RED RETROSPOT,Garden & Outdoor,2.9826,252.3991,Active,2,479.25,95.85000000000001,396.88759999999996
12414,2011,3,442.41,Austria,12 PENCILS SMALL TUBE RED RETROSPOT,Stationery & Office,2.3579,163.4733,Inactive,1,153.76,30.752,286.97429999999997
12415,2011,20,124564.53,Australia,MINI PAINT SET VINTAGE ,Decorations & Craft,18.3856,6285.6822,Active,3,7011.38,1402.276,12016.5317
12417,2010,10,2746.05,Belgium,WRAP ENGLISH ROSE ,Seasonal & Gifts,9.1203,280.4102,Active,2,291.34,58.268,613.6065
12417,2011,8,2964.76,Belgium,WRAP ENGLISH ROSE ,Seasonal & Gifts,7.9589,380.5345,Active,2,323.44,64.688,733.7645
12418,2011,1,668.58,Switzerland,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Garden & Outdoor,0.0,0.0,Active,0,668.58,133.716,1306.7496999999998
12421,2011,4,639.04,Spain,LOVE HEART TRINKET POT,Seasonal & Gifts,4.1345,170.8547,Active,2,157.45,31.49,312.7153
12422,2011,3,683.5600000000001,Australia,FRENCH LAVENDER SCENT HEART,Seasonal & Gifts,3.0287,251.4721,Active,2,238.5,47.7,443.21340000000004
12423,2010,3,860.01,Belgium,MINI PAINT SET VINTAGE ,Decorations & Craft,6.7935,315.8612,Active,0,237.93,47.586000000000006,653.8079
12423,2011,7,1441.38,Belgium,RABBIT NIGHT LIGHT,Home & Kitchen,7.541,212.6649,Active,2,192.31,38.462,405.1772
12424,2011,2,1760.96,Australia,SET OF 3 BUTTERFLY COOKIE CUTTERS,Garden & Outdoor,1.3844,1069.2637,Active,1,1466.3200000000002,293.26400000000007,1603.7433999999998
12425,2011,1,777.2,Portugal,ICE CREAM PEN LIP GLOSS ,Stationery & Office,0.0,0.0,Active,0,777.2,155.44000000000003,1519.0491
12426,2011,1,510.73,Germany,WRAP BAD HAIR DAY,Seasonal & Gifts,0.0,0.0,Inactive,1,582.73,116.546,983.8295
12427,2010,1,249.5,Germany,6 RIBBONS RUSTIC CHARM,Seasonal & Gifts,0.0,0.0,Active,0,303.5,60.7,549.7502999999999
12427,2011,2,450.3,Germany,BOYS ALPHABET IRON ON PATCHES,Seasonal & Gifts,6.2964,276.7655,Active,0,282.58,56.516,428.57309999999995
